ap_syndicated,collect_date,full_text_rss,guid,language,media_id,media_name,media_url,normalized_title_hash,processed_stories_id,publish_date,stories_id,story_tags,title,url,metadata
FALSE,23:22.2,FALSE,https://www.simplemost.com/?p=324809,en,448915,simplemost.com,http://simplemost.com/,7696d06e-ec02-3532-7acc-c67cb431eff0,2389931872,7/6/21 11:45,1984984203,[],Here’s What The ‘i’ In ‘iPhone’ Actually Stands For,https://www.simplemost.com/what-i-iphone-stands-for/,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
FALSE,48:30.4,FALSE,https://www.mercurynews.com/?p=7861769,en,18737,mercurynews.com,http://www.mercurynews.com,e9a651a6-d7c7-6bb7-fea8-03499091973c,2274888549,2/25/21 16:31,1863454211,[],"Murder charges filed in recent Oakland shooting, police believe it occurred during illicit gun sale",https://www.mercurynews.com/2021/02/25/murder-charges-filed-in-recent-oakland-shooting-police-believe-it-occurred-during-illicit-gun-sale/,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
FALSE,27:10.3,FALSE,https://www.urdupoint.com/en/world/russian-deputy-defense-minister-lebanese-env-1296944.html,en,375846,Big News Network.com - Paris News,http://www.bignewsnetwork.com/index.php/cat/fab36d240e1883d4/,8185dd48-eed5-0361-e025-5bc7a3cf0ac4,2392274998,7/11/21 11:49,1987377089,[],"Russian Deputy Defense Minister, Lebanese Envoy Discuss Return Of Refugees To Syria - UrduPoint",https://www.urdupoint.com/en/world/russian-deputy-defense-minister-lebanese-env-1296944.html,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
TRUE,28:05.0,FALSE,article16006729,en,14,SF Chronicle,http://www.sfgate.com/,ceb3fd9e-81d7-811f-be82-8c6b796e5f31,2280787343,3/6/21 23:13,1872094537,[],Winning numbers drawn in 'Pick 3' game,https://www.sfgate.com/lottery/article/Winning-numbers-drawn-in-Pick-3-game-16006729.php,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
FALSE,45:06.1,FALSE,Post 15255073 at The Sun,en,623377,News and Java,http://www.newsandjava.com/,b09abd60-3836-7efb-6c4a-6c4b7d6a00b4,2364653211,6/12/21 16:34,1959254545,[],Roxanne Pallett pregnant with first child aged 38 saying she ‘feels like the luckiest woman in the world’,https://www.thesun.co.uk/tvandshowbiz/15255073/roxanne-pallett-pregnant-aged-38/,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
FALSE,28:27.1,FALSE,http://ugandaradionetwork.com/a/story.php?s=161575,en,201423,ugandaradionetwork.com,http://ugandaradionetwork.com/,f8b4ced2-763e-8f07-b164-0b0710795518,2227200928,1/7/21 11:09,1817501866,[],Retired Justice Vincent  Musoke Kibuuka Dead,http://ugandaradionetwork.com/story/retired-justice-vincent-musoke-kibuuka-dead,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
FALSE,44:36.6,FALSE,https://www.boston.com/?p=21037800,en,61947,cache.boston.com,http://cache.boston.com/,bda71f38-c774-1ee1-e9b5-9f435dfe46de,2236853960,1/17/21 18:59,1826883505,[],"5 takeaways from Knicks vs. Celtics, including Kemba Walker's chemistry with Jaylen Brown",https://www.boston.com/sports/boston-celtics/2021/01/17/5-takeaways-as-knicks-crush-the-celtics-including-kemba-walkers-chemistry-with-jaylen-brown,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
FALSE,40:36.7,FALSE,https://www.foxnews.com/us/twitter-suspends-realdonaldtrump-account-permanently,en,59690,foxnews.com,http://foxnews.com/,b176d608-9dba-a534-8a43-f363a8d41644,2228342560,1/8/21 18:35,1818732577,[],Twitter suspends @realDonaldTrump account permanently,https://www.foxnews.com/us/twitter-suspends-realdonaldtrump-account-permanently,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
FALSE,57:12.6,FALSE,https://texasborderbusiness.com/?p=90033,en,588408,texasborderbusiness.com,http://texasborderbusiness.com/,4c233229-5937-e251-a436-8ecf3ffeadd3,2324508290,4/30/21 13:32,1917749187,[],"Edinburg CISD, City of Edinburg host First Dose COVID-19 Community Vaccine Clinics May 1",https://texasborderbusiness.com/edinburg-cisd-city-of-edinburg-host-first-dose-covid-19-community-vaccine-clinics-may-1/,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
FALSE,28:08.7,FALSE,https://www.thebledsonian-banner.com/?p=197321,en,663156,Bledsonian Banner,http://www.thebledsonian-banner.com/v2/content.aspx?ID=1257&MemberID=1229&IsHome=1,334b1b7f-92c3-4455-e8ea-106fc7d3bcb2,2276261658,2/25/21 12:49,1866118028,[],Winter weather throws ducks off course,https://www.thebledsonian-banner.com/2021/02/25/winter-weather-throws-ducks-off-course/,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
